label,auc_60-79,n_60-79,auc_40-59,n_40-59,auc_80+,n_80+,auc_18-39,n_18-39,auc_Under 18,n_Under 18
Atelectasis,0.784,3851,0.833,7545,0.786,195,0.845,4552,0.801,955
Cardiomegaly,0.908,3851,0.916,7545,0.935,195,0.929,4552,0.894,955
Effusion,0.86,3851,0.887,7545,0.866,195,0.883,4552,0.833,955
Infiltration,0.726,3851,0.723,7545,0.717,195,0.706,4552,0.69,955
Mass,0.853,3851,0.85,7545,0.817,195,0.885,4552,0.895,955
Nodule,0.789,3851,0.801,7545,0.795,195,0.817,4552,0.896,955
Pneumonia,0.78,3851,0.745,7545,,195,0.751,4552,0.751,955
Pneumothorax,0.856,3851,0.913,7545,0.824,195,0.909,4552,0.916,955
Consolidation,0.79,3851,0.822,7545,0.614,195,0.85,4552,0.761,955
Edema,0.856,3851,0.893,7545,,195,0.943,4552,0.853,955
Emphysema,0.91,3851,0.93,7545,0.791,195,0.969,4552,0.957,955
Fibrosis,0.778,3851,0.837,7545,,195,0.842,4552,,955
Pleural_Thickening,0.789,3851,0.802,7545,0.629,195,0.824,4552,0.855,955
Hernia,0.96,3851,0.846,7545,0.859,195,,4552,,955
