label,auc_M,n_M,auc_F,n_F,auc_gap
Pneumothorax,0.926,9676,0.871,7422,0.05500000000000005
Cardiomegaly,0.93,9676,0.897,7422,0.03300000000000003
Pneumonia,0.769,9676,0.738,7422,0.031000000000000028
Infiltration,0.73,9676,0.705,7422,0.025000000000000022
Emphysema,0.93,9676,0.951,7422,0.020999999999999908
Consolidation,0.811,9676,0.831,7422,0.019999999999999907
Fibrosis,0.821,9676,0.838,7422,0.017000000000000015
Edema,0.898,9676,0.887,7422,0.01100000000000001
Hernia,0.912,9676,0.918,7422,0.006000000000000005
Mass,0.865,9676,0.861,7422,0.0040000000000000036
Nodule,0.81,9676,0.807,7422,0.0030000000000000027
Effusion,0.879,9676,0.881,7422,0.0020000000000000018
Atelectasis,0.826,9676,0.827,7422,0.0010000000000000009
Pleural_Thickening,0.813,9676,0.814,7422,0.0010000000000000009
